地点,等级,怪物名,掉落
黑森林,6,森林野怪群,苦十年
追风谷,6,实华豹群,珈蓝花
黑森林,6,森林野怪群,二阶灵骨
黑森林,6,森林野怪群,塑丹草
红叶林,15,林中兽群,红霞叶
红叶林,15,林中兽群,血阳花
飞羽林,15,林中兽群,飞羽果
碧炎山脉,21,焱炎兽群,低级灵兽内丹
碧炎山脉,21,焱炎兽群,塑丹草
碧炎山脉,21,焱炎兽群,艳岩礁
炽焰火山,25,山火灵兽群,低级灵兽内丹
炽焰火山,25,山火灵兽群,烈焰尾
炽焰火山,25,山火灵兽群,艳岩礁
炽焰火山,25,山火灵兽群,灵光草
炽焰火山,25,山火灵兽群,极品墨玉
通天道,30,通天灵兽群,翠灵晶铁
通天道,30,通天灵兽群,云霖花
通天道,30,通天灵兽群,千幻珈蓝
通天道,30,通天灵兽群,中级灵兽内丹
通天道,30,通天灵兽群,四阶灵骨
通天道,30,通天灵兽群,血玉
冰莲青湖,31,冰莲灵兽群,中级灵兽内丹
冰莲青湖,31,冰莲灵兽群,凝翠藤
冰莲青湖,31,冰莲灵兽群,噬心冰莲
冰莲青湖,31,冰莲灵兽群,冰青莲藕
冰莲青湖,31,冰莲灵兽群,九天寒铁
冰莲青湖,31,冰莲灵兽群,四阶灵骨
冰莲青湖,31,冰莲灵兽群,冰火朱音狸-蛋
通天道,35,钻地兽群,中级灵兽内丹
通天道,35,钻地兽群,虫心
通天道,35,钻地兽群,幻神草
通天道,35,钻地兽群,星辰蓝
通天道,35,钻地兽群,极风石
通天道,35,钻地兽群,截土
通天道,35,钻地兽群,银沙矿石
通天道,35,钻地兽群,五阶灵骨
通天道,35,陆地兽群,中级灵兽内丹
通天道,35,陆地兽群,珈蓝花
通天道,35,陆地兽群,四阶灵骨
通天道,35,陆地兽群,截土
通天道,35,陆地兽群,牛角
落樱山脉,40,飞羽兽群,中级灵兽内丹
落樱山脉,40,飞羽兽群,幻神草
落樱山脉,40,飞羽兽群,星辰蓝
落樱山脉,40,飞羽兽群,千金藤
落樱山脉,40,飞羽兽群,四阶灵骨
落樱山脉,40,飞羽兽群,五阶灵骨
落樱山脉,45,落樱灵兽群,中级灵兽内丹
落樱山脉,45,落樱灵兽群,幻神草
落樱山脉,45,落樱灵兽群,星辰蓝
落樱山脉,45,落樱灵兽群,千金藤
落樱山脉,45,落樱灵兽群,四阶灵骨
落樱山脉,45,落樱灵兽群,五阶灵骨
